127.0.0.1 - - [24/Apr/2020:12:32:39 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:24 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 500 8601
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [24/Apr/2020:12:44:26 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
127.0.0.1 - - [24/Apr/2020:12:44:26 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:26 +0530] "GET /IPA/api/getUserDetails HTTP/1.1" 401 1030
127.0.0.1 - - [24/Apr/2020:12:44:26 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:26 +0530] "GET /IPA/api/getAllCheckersId?userRole=ipa_checker HTTP/1.1" 401 1030
127.0.0.1 - - [24/Apr/2020:12:44:26 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:30 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:30 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:44:30 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:51:02 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:51:03 +0530] "POST /DealConsolidationPlatform/login HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [24/Apr/2020:12:51:04 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:41 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:45 +0530] "GET /DealConsolidationPlatform/user-mgmt/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:46 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:46 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:52 +0530] "POST /DealConsolidationPlatform/login HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:52 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [24/Apr/2020:14:18:53 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 5987
