127.0.0.1 - - [10/Jun/2020:12:32:24 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:21 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [10/Jun/2020:14:03:23 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
127.0.0.1 - - [10/Jun/2020:14:03:23 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:23 +0530] "GET /IPA/api/getUserDetails HTTP/1.1" 401 1030
127.0.0.1 - - [10/Jun/2020:14:03:23 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
127.0.0.1 - - [10/Jun/2020:14:03:23 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:23 +0530] "GET /IPA/api/getAllCheckersId?userRole=ipa_checker HTTP/1.1" 401 1030
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:34 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:03:35 +0530] "POST /DealConsolidationPlatform/login HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [10/Jun/2020:14:06:17 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
