127.0.0.1 - - [02/Jun/2020:16:06:03 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:11 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:11 +0530] "POST /DealConsolidationPlatform/login HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:11 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 7387
127.0.0.1 - - [02/Jun/2020:16:07:20 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
127.0.0.1 - - [02/Jun/2020:16:07:20 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
127.0.0.1 - - [02/Jun/2020:16:07:21 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 7387
127.0.0.1 - - [02/Jun/2020:16:07:21 +0530] "GET /DealConsolidationPlatform/api/users/getAllUsersId?userRole=ipa_checker HTTP/1.1" 200 26969
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:21 +0530] "GET /IPA/api/getUserDetails HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:21 +0530] "GET /IPA/api/getAllCheckersId?userRole=ipa_checker HTTP/1.1" 200 26969
127.0.0.1 - - [02/Jun/2020:16:07:25 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:25 +0530] "GET /IPA/api/account_master/getAllPendingTransactions?pageNumber=1&pageSize=10 HTTP/1.1" 200 90
127.0.0.1 - - [02/Jun/2020:16:07:27 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
127.0.0.1 - - [02/Jun/2020:16:07:27 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:28 +0530] "GET /IPA/api/viewRequest?pageNumber=1&pageSize=10 HTTP/1.1" 200 91
127.0.0.1 - - [02/Jun/2020:16:07:29 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:29 +0530] "GET /IPA/api/feescalculation/getAllTransactions?pageNumber=1&pageSize=10 HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:35 +0530] "GET /DealConsolidationPlatform/user-mgmt/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:42 +0530] "POST /DealConsolidationPlatform/login HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:42 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:42 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 5987
127.0.0.1 - - [02/Jun/2020:16:07:45 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
127.0.0.1 - - [02/Jun/2020:16:07:45 +0530] "GET /DealConsolidationPlatform/api/users/getUserDetails HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:45 +0530] "GET /IPA/api/getUserDetails HTTP/1.1" 200 5987
127.0.0.1 - - [02/Jun/2020:16:07:50 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:50 +0530] "GET /IPA/api/account_master/getAllTransactions?pageNumber=1&pageSize=10 HTTP/1.1" 200 90
127.0.0.1 - - [02/Jun/2020:16:07:57 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:07:57 +0530] "GET /IPA/api/getById?customerId=123 HTTP/1.1" 200 73
127.0.0.1 - - [02/Jun/2020:16:08:02 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:08:02 +0530] "GET /IPA/api/viewAllCustomer?customerId=&pageNumber=1&pageSize=10 HTTP/1.1" 200 91
