0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/js/logger.js HTTP/1.1" 200 7471
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/assets/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/js/jquery.min.js HTTP/1.1" 200 85593
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:48 +0530] "GET /usermanagement/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:50 +0530] "POST /usermanagement/auth/login HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:51 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
127.0.0.1 - - [01/Jun/2020:11:47:02 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:47:02 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:47:03 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:47:06 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:47:06 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:47:18 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:47:20 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:47:20 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:48:33 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:48:34 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=72 HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/lclog.html HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/js/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/js/jquery.min.js HTTP/1.1" 200 85593
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/css/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/js/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/js/logger.js HTTP/1.1" 200 7471
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/assets/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:49:56 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:03 +0530] "GET /usermanagement/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:05 +0530] "POST /usermanagement/auth/login HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:16 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:20 +0530] "POST /usermanagement/auth/login HTTP/1.1" 401 92
127.0.0.1 - - [01/Jun/2020:11:50:34 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:50:35 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:35 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:51:01 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:01 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:51:10 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:51:16 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/lclog.html HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/js/jquery.min.js HTTP/1.1" 200 85593
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/js/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/js/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/css/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/js/logger.js HTTP/1.1" 200 7471
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/assets/img/axis-bar.png HTTP/1.1" 200 32976
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /usermanagement/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Jun/2020:11:51:18 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:18 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:51:19 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:19 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:24 +0530] "GET /usermanagement/css/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:24 +0530] "GET /usermanagement/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:24 +0530] "GET /usermanagement/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:40 +0530] "GET /usermanagement/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:40 +0530] "POST /usermanagement/auth/login HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:42 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
127.0.0.1 - - [01/Jun/2020:11:51:56 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:51:57 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:57 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:52:00 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:52:00 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:54:49 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:54:49 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:54:49 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:54:50 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:54:50 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:57:05 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:57:06 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:06 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:57:06 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:06 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:57:29 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:57:29 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:29 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:57:31 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:31 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:57:44 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:57:45 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:45 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:57:49 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:49 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:58:19 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:58:20 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:58:20 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:11:58:34 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:58:34 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:11:59:45 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:11:59:47 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:59:47 +0530] "GET /DirectDealing/api/customer/getLoggedInUserDetails HTTP/1.1" 200 1122
127.0.0.1 - - [01/Jun/2020:12:00:06 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:00:06 +0530] "GET /DirectDealing/api/customer/getCustomerList?solId=undefined HTTP/1.1" 200 492
127.0.0.1 - - [01/Jun/2020:12:00:29 +0530] "GET /usermanagement/auth/validate HTTP/1.1" 200 71
127.0.0.1 - - [01/Jun/2020:12:00:30 +0530] "GET /usermanagement/user/details HTTP/1.1" 200 687
